tweet_id	tweet_text	created_at	user_id	screen_name	name	profile_image_url
272388626552336388	CBCは『ノブナガ』放送してるから『CD TV』遅れて放送してるんだろうな。毎週ネタバレツイートが流れてくるのはいったいいいんだか困るんだか微妙w	2012-11-24 12:18:03	141979382	mojin_no_kuni	も人の国	http://a0.twimg.com/profile_images/886443115/2009110613360000_normal.jpg
272388978571894784	Rory McIlroy, Luke Donald tied after 3rd round at Dubai World Championship - CBC.ca: CBC.caRory McIlroy, Luke Do... http://t.co/xVDFfVQk	2012-11-24 12:19:27	169024842	brknworldnews	Breaking World News	http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png
272388980258000896	Norway's Bjoergen, Sundby dominate cross-country World Cup races - CBC.ca: CBC.caNorway's Bjoergen, Sundby domin... http://t.co/rLsCfpf1	2012-11-24 12:19:28	169024842	brknworldnews	Breaking World News	http://a0.twimg.com/sticky/default_profile_images/default_profile_0_normal.png
272389102526160896	Sully's lessons:the principles of aviation safety applied the world of medicinehttp://www.cbc.ca/whitecoat/episode/2012/11/23/sully-show/	2012-11-24 12:19:57	385220638	d_h_lester	Doug Lester	http://a0.twimg.com/profile_images/2215523929/DSC_4611web_normal.jpg
272389225326972929	RT @garethhorn: Fucking quality result #CBC	2012-11-24 12:20:26	337625530	paulmacbeth1874	Paul Macbeth	http://a0.twimg.com/profile_images/2508830440/52T5QA0H_normal
272389403199025152	@kalimba7 スポンサーがつかないことには何ともなりませんよね。だからその辺り、CBCラジオの営業部にいるスフィアファンの社員に頑張っていただいてですね、って、そんな社員いねえよｗ	2012-11-24 12:21:09	106204613	pita_pita_angel	ぴた	http://a0.twimg.com/profile_images/641884342/______normal.GIF
272389429421830144	The Walking Dead Sunday at CBC! Don't miss the new episode tmrw. Watch it with us! #TN #Clarksville #KY #FortCampbelli	2012-11-24 12:21:15	619327639	CBCClarksville	Cheeseburger Charley	http://a0.twimg.com/profile_images/2841356514/a5598f1a91466b3011172640722dcefb_normal.jpeg
272389500121006080	CBC News - The National - At Issue - Justin Trudeau, the Liberals and Alberta http://t.co/YEQAnWYs	2012-11-24 12:21:32	17974361	abergiecreation	Anita Berglund	http://a0.twimg.com/profile_images/2284373611/3mhd63t4tdlyxoqcuxwr_normal.jpeg
272389666014105600	RT @BeluCabre: Felicidad es la que se siente cuando terminas el CBC	2012-11-24 12:22:11	73564141	LuliCambiaso	Luli Cambiaso	http://a0.twimg.com/profile_images/2374354599/zvvfn61x8bteleecu7xn_normal.jpeg
272389690307538945	chau cbc ni nos vimosssss	2012-11-24 12:22:17	185029072	PiiliFernandez	Pilar	http://a0.twimg.com/profile_images/2752631253/cd78d7f9603e3dec972ff18c762a6ef1_normal.jpeg
272389815192940544	Vito Rizzuto summoned to Quebec corruption inquiry - CBC.ca: CBC.caVito Rizzuto summoned to Quebec corruption in... http://t.co/uFquDFVM	2012-11-24 12:22:47	414465617	canadaupdate1	Stephen Harper	http://a0.twimg.com/profile_images/1643055288/Stephen-Harper_normal.jpg
272389875947413505	CBC top story: Thailand protesters call for PM Shinatra to resign http://t.co/c6lGyLhA	2012-11-24 12:23:01	430935020	Sarr_zrrs	Sarr	http://a0.twimg.com/sticky/default_profile_images/default_profile_5_normal.png
272389908444872704	@Scarlet_Ibis @anncoats @Johnny_Marr CBC TV ran them after the late news - brother &amp; Dad &amp; I wld sit up til 2am watching. Night owls all.	2012-11-24 12:23:09	230022270	nolybowl	Nola	http://a0.twimg.com/profile_images/2367280552/zkmlt2enl4gevz0ozeph_normal.jpeg
272390362742542337	I JUST LOVE CBC RADIO THE DEBATORS	2012-11-24 12:24:57	303504927	hikatieroberts	katie	http://a0.twimg.com/profile_images/2890498467/30fa098d9ec322d19d319dae36440577_normal.jpeg
272390409785839617	RT @MohAbdElHamid: Clashes are back to Qasr El-Einy street. Picture via CBC live streaming http://t.co/vZHVOlQq	2012-11-24 12:25:09	706197182	Shams98943178	مكملين ياجيكا	http://a0.twimg.com/profile_images/2885197207/0f39d05a629bc4513d4e52bb9b77e641_normal.jpeg
272390480497631232	The CBC Computers e-Paper is out! http://t.co/R61u3JIH	2012-11-24 12:25:25	34892850	cbccomputers	cbccomputers.com	http://a0.twimg.com/profile_images/1766007769/logo_normal.gif
272390481600737282	CBC – LA Kings Wins The Stanley Cup. Conn Smythe &amp; Cup Presentation. Part 1 http://t.co/V74atwz2	2012-11-24 12:25:26	528760705	noukayy54	Tisdale Roeder	http://a0.twimg.com/sticky/default_profile_images/default_profile_4_normal.png
272390580070383618	South Pacific island is missing, scientists say - CBC News http://t.co/XjXGQe3M	2012-11-24 12:25:49	19036954	TimothyArcher	Tim Archer	http://a0.twimg.com/profile_images/2206904022/TimTwit_normal.jpg
272390645795147776	RT @sarah_saytara: الآن على الـ cbcجماعة الاخوان تعلن التظاهر بكافة ميادين المحافظات غدا ومليونية بالميدان الثلاثاء القادم لتأييد الاعل ...	2012-11-24 12:26:05	243551932	3elwaa	ديموقراطي وش !	http://a0.twimg.com/profile_images/2885590572/6d7d2b0c979580e814da51ee81b207c2_normal.jpeg
